,City_Key,City,State_Province,Country,Continent,Sales_Territory,Region,Subregion,Latest_Recorded_Population
1,1.0,Carrollton,New York,United States,North America,Mideast,Americas,Northern America,0
2,2.0,Carrollton,Virginia,United States,North America,Southeast,Americas,Northern America,4574
3,3.0,Carrollton,Illinois,United States,North America,Great Lakes,Americas,Northern America,2484
4,4.0,Carrollton,Missouri,United States,North America,Plains,Americas,Northern America,3784
5,5.0,Carrollton,Ohio,United States,North America,Great Lakes,Americas,Northern America,3241
6,6.0,Carrollton,Kentucky,United States,North America,Southeast,Americas,Northern America,3938
7,7.0,Carrollton,Georgia,United States,North America,Southeast,Americas,Northern America,24388
8,8.0,Carrollton,Alabama,United States,North America,Southeast,Americas,Northern America,1019
9,9.0,Carrollton,Mississippi,United States,North America,Southeast,Americas,Northern America,190
10,10.0,Carrollton,Texas,United States,North America,Southwest,Americas,Northern America,119097
11,11.0,Carrollton Manor,Maryland,United States,North America,Mideast,Americas,Northern America,0
12,12.0,Carrolltown,Pennsylvania,United States,North America,Mideast,Americas,Northern America,853
13,13.0,Carrothers,Ohio,United States,North America,Great Lakes,Americas,Northern America,0
14,14.0,Carrsville,Virginia,United States,North America,Southeast,Americas,Northern America,359
15,15.0,Carrsville,Kentucky,United States,North America,Southeast,Americas,Northern America,50
16,16.0,Carsins,Maryland,United States,North America,Mideast,Americas,Northern America,0
17,17.0,Carson,New Mexico,United States,North America,Southwest,Americas,Northern America,0
18,18.0,Carson,California,United States,North America,Far West,Americas,Northern America,91714
19,19.0,Carson,Washington,United States,North America,Far West,Americas,Northern America,2279
20,20.0,Carson,North Dakota,United States,North America,Plains,Americas,Northern America,293
21,21.0,Carson,Iowa,United States,North America,Plains,Americas,Northern America,812
22,22.0,Carson City,Nevada,United States,North America,Far West,Americas,Northern America,55274
23,23.0,Carson City,Michigan,United States,North America,Great Lakes,Americas,Northern America,1093
24,24.0,Carsonville,Michigan,United States,North America,Great Lakes,Americas,Northern America,527
25,25.0,Carsonville,Georgia,United States,North America,Southeast,Americas,Northern America,0
26,26.0,Carta Valley,Texas,United States,North America,Southwest,Americas,Northern America,0
27,27.0,Cartago,California,United States,North America,Far West,Americas,Northern America,92
28,28.0,Carter,Wyoming,United States,North America,Rocky Mountain,Americas,Northern America,10
29,29.0,Carter,Montana,United States,North America,Rocky Mountain,Americas,Northern America,58
30,30.0,Carter,Tennessee,United States,North America,Southeast,Americas,Northern America,0
31,31.0,Carter,Wisconsin,United States,North America,Great Lakes,Americas,Northern America,0
32,32.0,Carter,Mississippi,United States,North America,Southeast,Americas,Northern America,0
33,33.0,Carter,South Dakota,United States,North America,Plains,Americas,Northern America,0
